"Week","District","Cases","Region","ADM1"
28,"Kailahun",9,"Kailahun","Eastern"
28,"WesternRural",8,"WesternRural","Western"
28,"Koinadugu",1,"Koinadugu","Northern"
28,"Pujehun",2,"Pujehun","Southern"
28,"Tonkolili",1,"Tonkolili","Northern"
29,"Kenema",35,"Kenema","Eastern"
29,"WesternUrban",24,"WesternUrban","Western"
29,"Kailahun",38,"Kailahun","Eastern"
29,"PortLoko",33,"PortLoko","Northern"
29,"Bombali",14,"Bombali","Northern"
29,"Moyamba",3,"Moyamba","Southern"
29,"WesternRural",11,"WesternRural","Western"
29,"Bo",16,"Bo","Southern"
29,"Kono",2,"Kono","Eastern"
29,"Tonkolili",5,"Tonkolili","Northern"
30,"PortLoko",60,"PortLoko","Northern"
30,"Kenema",26,"Kenema","Eastern"
30,"Kono",7,"Kono","Eastern"
30,"Pujehun",3,"Pujehun","Southern"
30,"Bo",8,"Bo","Southern"
30,"WesternUrban",26,"WesternUrban","Western"
30,"Kailahun",10,"Kailahun","Eastern"
30,"WesternRural",11,"WesternRural","Western"
30,"Moyamba",4,"Moyamba","Southern"
30,"Bombali",22,"Bombali","Northern"
30,"Tonkolili",8,"Tonkolili","Northern"
31,"WesternUrban",53,"WesternUrban","Western"
31,"Bombali",24,"Bombali","Northern"
31,"Kenema",22,"Kenema","Eastern"
31,"Bo",9,"Bo","Southern"
31,"Kailahun",39,"Kailahun","Eastern"
31,"PortLoko",32,"PortLoko","Northern"
31,"WesternRural",13,"WesternRural","Western"
31,"Tonkolili",14,"Tonkolili","Northern"
31,"Kono",1,"Kono","Eastern"
31,"Kambia",2,"Kambia","Northern"
31,"Moyamba",4,"Moyamba","Southern"
31,"Bonthe",1,"Bonthe","Southern"
32,"WesternRural",63,"WesternRural","Western"
32,"Bombali",95,"Bombali","Northern"
32,"Kenema",9,"Kenema","Eastern"
32,"Kono",5,"Kono","Eastern"
32,"Kailahun",2,"Kailahun","Eastern"
32,"Moyamba",33,"Moyamba","Southern"
32,"PortLoko",72,"PortLoko","Northern"
32,"Tonkolili",26,"Tonkolili","Northern"
