"Rep","Acceptance","Likelihood1","Likelihood2","LikelihoodDelta","TruePeak","TrueGamma","TruePhi","TruePsi","Cases","TreeSize","PercentTrajCaptured","GammaMean","GammaLower95","GappaUpper95","PhiMean","PhiLower95","PhiUpper95","PsiMean","PsiLower95","PsiUpper95","GammaCalibration1","PhiCalibration1","PsiCalibration1","GammaCalibration2","PhiCalibration2","PsiCalibration2","RunTime","Batch","LikelihoodDelta_Percent","Epidemic_Length"
54,0.292499999999999,-557.280153913677,-556.30375260145,0.97640131222704,3416,0.088106693,0.022219615,0.001096786,1956,97,0.353535353535354,0.166877991675228,0.110660126506505,0.258929979103935,0.0191581918657717,0.0137745182660648,0.0245600741813261,0.000973151257694537,0.000692151418921287,0.001218471188677,0,0.157894736842105,0.368421052631579,0.0526315789473684,0.31578947368421,0.368421052631579,812264295167,2,0.00175515859395354,113
55,0.5425,-92.6294474335104,-93.3619477464167,0.732500312906367,2209,0.12500519,0.011040592,0.000217977,681,13,0.515151515151515,0.134987641559298,0.0938570246981554,0.193706166622906,0.0137998096916106,0.00869574332266226,0.018370136449828,0.000342743190321293,0.000161081522516263,0.000487160316731417,0.842105263157894,0.421052631578947,0.105263157894737,0.736842105263158,0.31578947368421,0.157894736842105,442803205917,2,0.00784581224564781,106
56,0.449999999999998,-209.501279390974,-209.841830265174,0.340550874200176,1821,0.164016884,0.012357827,0.000825308,558,37,0.34375,0.143382325577808,0.103361321808382,0.186663773993949,0.0187275631668664,0.0122212179376604,0.0246466685840591,0.00114430176995875,0.000762516467106073,0.00170762876411306,0.210526315789474,0.0526315789473684,0.210526315789474,0.421052631578947,0.0526315789473684,0.210526315789474,436275308541,2,0.00162289317515877,106
57,0.4585,-218.228464735857,-218.098240714028,0.130224021829008,3973,0.075760788,0.009663885,0.000338646,1061,37,0.2,0.188638773925121,0.11062154008547,0.252315876257522,0.0159322677519832,0.00894235229864883,0.0239530274288445,0.000619371862890613,0.000353045760236409,0.00108453026908313,0,0.31578947368421,0.0526315789473684,0,0.157894736842105,0.105263157894737,567866703583,2,0.000597088822920672,113
58,0.308499999999999,-140.487799709263,-140.499849754267,0.0120500450039742,1259,0.179104375,0.027274415,0.000622567,985,23,0.424242424242424,0.177691267007286,0.0984821532099685,0.286076864518385,0.0277901099474752,0.0157676471485356,0.0403340996728365,0.000561757978367456,0.000169095504664806,0.000914639345965112,0.894736842105263,0.631578947368421,0.736842105263158,1,0.947368421052631,0.789473684210526,419123257875,2,8.57655365827769e-05,113
59,0.5085,-201.201432675376,-201.164235557843,0.0371971175327985,2672,0.117086418,0.011109822,0.000465649,824,35,0.329787234042553,0.146910056974718,0.110113867673067,0.192355552080936,0.0202759401736598,0.0134555010930298,0.0286308578100483,0.000927666288367929,0.000578569438629731,0.00136372930390862,0.263157894736842,0,0,0.157894736842105,0,0,446022790375,2,0.000184909198345562,113
63,0.2865,-773.318894152518,-773.850422023051,0.531527870532386,2962,0.090963621,0.028049824,0.001635248,2242,131,0.212121212121212,0.135020673702517,0.0914202612626822,0.190715901655532,0.0256736417462547,0.0192761717272748,0.03190631919536,0.00147849117786717,0.00110002262231109,0.00179316385174251,0,0.736842105263158,0.947368421052631,0.105263157894737,0.473684210526316,0.421052631578947,787963965542,2,0.000686861253034961,113
67,0.355499999999998,-533.203901384532,-526.372261885251,6.8316394992811,2322,0.136185894,0.018202612,0.001674356,1000,92,0.239130434782609,0.16626368135022,0.122359181184186,0.210513589096504,0.0153950377932817,0.00961534279680118,0.0223565396446915,0.00117338748733137,0.000480843033779602,0.00182565137044613,0.210526315789474,0.368421052631579,0.421052631578947,0.210526315789474,0.421052631578947,0.210526315789474,753795014667,2,0.0129787224630966,113
68,0.4915,-361.739399551698,-361.443670718848,0.295728832849647,1535,0.161643686,0.025744918,0.001557711,1034,63,0.373737373737374,0.20376263489481,0.124576106919669,0.30172865694991,0.0231950412850997,0.0167672107395949,0.0302930476069033,0.00139433312844934,0.000809599365175828,0.00189756672539614,0.526315789473684,0.31578947368421,0.31578947368421,0.368421052631579,0.473684210526316,0.578947368421053,567497802958,2,0.000818187885989246,113
69,0.360000000000001,-145.540918323389,-145.167070510593,0.373847812796186,2278,0.144021189,0.020153472,0.000411396,1165,24,0.653061224489796,0.157200400805405,0.106221211748781,0.217732746946055,0.0263270060081592,0.0134643769088845,0.0412165576250972,0.000699335508593048,0.000328669864521687,0.00119935307946478,0.842105263157894,0.421052631578947,0.368421052631579,0.684210526315789,0.421052631578947,0.210526315789474,573689964916,2,0.00257529349790734,106
