"Rep","Gamma_ESS","Psi_ESS","Phi_ESS","InitialBeta_ESS","RunTime"
336,0.623861773277814,0.584870412447951,0.565374732033019,0.526383371203155,51.29341365455
337,0.839720836477216,0.901922379919973,1.18182932541238,0.808620064755837,32.1535429718167
338,0.726729908022585,1.1809361005367,1.158225790911,0.70401959839688,44.0328650943667
339,1.58742203592005,1.34690354562913,1.68362943203641,1.68362943203641,20.7884225198333
340,0.471832686997731,0.52425854110859,0.52425854110859,0.54173382581221,57.2236742897167
341,1.08807423795015,0.912578393119478,0.912578393119478,0.947677562085612,28.490703041
342,1.5136230280901,1.64717800115687,2.71561778569105,1.95880627164601,22.4626603645833
343,0.838692354725671,0.764690088132229,0.888027199121298,0.666020399340974,40.5392988363667
344,1.65364086537223,1.59661876656629,2.85110494029695,1.93875135940193,17.5370605596833
345,1.05603644454604,1.8837406848659,1.36999322535702,1.17020254665912,35.0366696065167
346,1.8009324010227,1.59628099181558,1.35069930076703,1.26883873708418,24.4317887639833
347,1.53400324846365,1.42037337820709,1.98852272948992,1.53400324846365,17.6010057521333
348,1.36513219676513,1.12623406233123,1.50164541644164,1.0921057574121,29.3011915584333
349,0.38172893950476,0.327196233861223,0.340829410272107,0.368095763093876,73.3504775308
350,1.05909375867325,0.949532335362225,0.949532335362225,0.949532335362225,27.3819005753833
351,1.44396467429922,1.28352415493264,2.56704830986529,1.16319376540771,24.9313578377333
352,1.77635065366929,3.00613187544034,2.7783946121494,2.04963536961841,21.9551246368167
353,0.352278054848432,0.366956307133783,0.366956307133783,0.396312811704486,68.1280019282667
354,2.20339317584958,2.30831666041385,2.09846969128532,2.72801059867091,19.0615095210167
355,1.02601617410271,0.887365339764506,0.831905006029225,0.748714505426302,36.0618096808833
356,1.56845314778087,1.82986200574434,3.72507622597956,2.15662307819869,15.3017002987667
357,1.65166675906897,1.70862078524376,1.76557481141856,1.59471273289418,17.5580212175167
358,2.05329634754784,1.56698931786546,1.89119400432038,1.78312577550207,18.5068268617833
359,2.08353696379374,1.36067720084489,1.78588882610892,1.36067720084489,23.5177013182333
360,1.92812245748446,1.56659949670612,1.6871071502989,1.92812245748446,16.5964562446667
361,1.38946647764807,1.54826264652214,1.46886456208511,1.19097126655549,25.1895245859
362,1.08030272304212,0.964556002716181,1.15746720325942,0.925973762607534,25.91866094825
363,6.03820993446316,1.41585612256378,1.87392722104029,1.08271350548995,24.0137394316833
364,1.90529532343723,1.35487667444425,1.35487667444425,1.69359584305532,23.6183857937667
365,1.33282592337022,1.22760282415678,1.29775155696574,1.22760282415678,28.5108500170167
366,1.44327150196541,1.26832950172718,1.39953600190585,1.22459400166762,22.8647208477833
367,1.64546928529529,0.980952843156807,1.1708146837678,0.88602192285131,31.6019268574
368,1.07034446572997,1.5892993582051,1.45956063508632,1.07034446572997,30.83119599025
369,1.15317050968597,1.10704368929854,1.29155097084829,1.15317050968597,21.67936119595
370,1.03036958514964,0.759219694320789,0.840564661569445,0.786334683403674,36.8799705927667
371,0.746646921553916,0.554651998868623,0.554651998868623,0.661315844804897,46.8762396115667
372,1.04468052715821,1.85057693382311,2.23860112962473,0.805896406664903,33.5030653775167
373,1.16872921848114,1.13220643040361,1.20525200655868,1.05916085424854,27.3801659905333
374,1.73231205316954,1.31655716040885,1.31655716040885,1.00474099083833,28.8631600227667
375,1.98022882406374,1.71967239984482,2.44923038765778,1.82389496953239,19.1897014820833
376,0.919106938165431,1.0661640482719,1.0661640482719,0.955871215692048,27.2003169184
377,0.851657784464845,0.82326919164935,0.794880598833855,0.851657784464845,35.2254162965833
378,0.657009807624431,0.885534958102494,0.657009807624431,0.685575451434189,35.0070877680833
379,1.16110236231014,1.40015284866811,1.16110236231014,1.05865215387101,29.2825172901667
380,0.599336947640774,0.599336947640774,0.599336947640774,0.663551620602286,46.7182944589333
381,1.47584590686322,1.05417564775944,1.35536868997642,0.933698430872647,33.2012981654333
382,1.89163636676398,1.55211189067814,2.47367832576828,1.55211189067814,20.6170703234667
383,1.44667633950441,1.20556361625367,1.2457490701288,1.44667633950441,24.8846262408167
384,1.30086404794411,0.946082943959354,1.00521312795681,0.946082943959354,33.8236728653833
385,0.724920971417189,0.756439274522284,0.85099418383757,0.756439274522284,31.7275963958333
386,2.02627668104518,2.02627668104518,2.11437566717758,2.11437566717758,11.3508684254
387,2.27398714995674,1.7835193332994,2.22939916662425,1.33763949997455,22.4275673681667
388,0.725685007284182,0.703694552517995,0.725685007284182,0.593742278687058,45.4742755724
389,1.67115649020299,1.26884103885783,1.11410432680199,1.20694635403549,32.3129523276667
390,1.49730669087329,0.847532089173558,0.988787437369151,0.791029949895321,35.3968898443167
391,0.4117013016814,0.400265154412472,0.377392859874617,0.320212123529978,87.4420358958667
392,0.686321366019852,0.686321366019852,0.7879986054302,0.737159985725026,39.34017114545
393,1.18819423463241,1.34317609132359,1.23985485352947,1.18819423463241,19.35710452855
394,1.7301317369161,1.19461477072778,1.60655089856495,1.93609980083468,24.2756080961
395,0.697105156005988,0.566397939254866,0.588182475380053,0.653536083755614,45.9041218162
