"","Rep","True_Beta","Mean_Beta","Lower95_Beta","Upper95_Beta"
"45510",662,0.0190714455572314,0.0688330723674269,0.00647141056299399,0.12842840590739
"47317",686,0.281175667122303,0.28572953824036,0.165252247285537,0.40346749460802
"29792",435,0.130489710385134,0.0831535976049733,0.00588931353824782,0.173912066591148
"15219",226,0.334406125067805,0.364300696260286,0.239062180349455,0.499660810950239
"26646",392,0.328741552314726,0.370080811204288,0.241227488830731,0.523320074856797
"40292",590,0.233328851191501,0.316561549760945,0.243562768200239,0.391537121283649
"44244",646,0.361132726399781,0.39798708368729,0.312286224362065,0.506443671910239
"9844",151,0.273316342486307,0.355242905424193,0.206878171199681,0.458209863480914
"13308",197,0.318710081052253,0.283038187156065,0.170017608428213,0.404515939535744
"277",5,0.00781630667606819,0.0984923096037425,0.000125837886749983,0.203749443016811
"16895",249,0.320116285974129,0.457975803067815,0.367377358068175,0.54353289944411
"30253",441,0.33525162577517,0.320129081078462,0.175923018699053,0.465316014088043
"5259",90,0.332252899029076,0.388631402602969,0.276923433061102,0.490463311862213
"6476",104,0.0634881165745084,0.0379078810968217,0.000119654088498681,0.0845730091119408
"8866",136,0.080998937813337,0.0979947355584079,0.0178650093423501,0.179103843071875
"46078",669,0.278610884624912,0.370636671169648,0.249077251058737,0.494228147486943
"29155",425,0.382545600505108,0.3645875381877,0.234687096566138,0.517297450554641
"333",7,0.0441338588472229,0.12842704836159,0.0091715784732779,0.236364079359859
"3591",71,0.0203428056279798,0.113301765279381,0.00439401156774466,0.237300506230351
"32510",471,0.0247134585874257,0.0686348738164181,0.0053903834775025,0.15273425767493
"11966",178,0.096137683918222,0.190451845710693,0.105888381566595,0.270533565647264
"1777",39,0.0280059025318702,0.0708285686803088,0.000207851399483532,0.156008754352145
"47147",683,0.0900567480642699,0.108298086942513,0.00996504013994568,0.212677750100921
"14130",207,0.0199187486766261,0.0956741196619794,0.014200171786753,0.18515224585837
"2787",56,0.35452921541873,0.335727924567208,0.244919539808789,0.443342355059241
"18465",276,0.0397904165587556,0.14733198859634,0.0498102274241778,0.262983850663633
"46996",680,0.000916417628773607,0.178530453163974,0.0716768483458619,0.282651164683558
"30242",441,0.336517426818924,0.338311317627867,0.176211812288493,0.464430028418404
"15283",226,0.142994614499876,0.152834053686889,0.0414708783520656,0.266561388278587
"8873",136,0.0593086578700115,0.0619941208241351,0.00130715950903489,0.134804191429308
"3437",69,0.392770069532008,0.372270960243364,0.275179264708595,0.50504173949714
"38502",567,0.175952288166381,0.0567234465003819,0.00137834590836745,0.130480263507729
"25553",377,0.0355640138460568,0.160966959407552,0.0723949605804439,0.268121152489574
"45678",664,0.287892488104674,0.291584467119887,0.210323912747564,0.382648843513564
"2123",48,0.492809557136455,0.400937259144953,0.247930165884615,0.538928993585559
"36125",536,0.310710290867356,0.320391881766268,0.21703836944405,0.451403911202645
"21410",320,0.298111546010397,0.38356340740452,0.297138374034494,0.479910054059962
"2623",54,0.0263021817492968,0.101655977485225,0.021155573997541,0.214950356385059
"13023",191,0.346746490131521,0.386668405695337,0.274817191228221,0.480774017117098
"38798",571,0.0123381273555063,0.0902145772108292,8.99132817171744e-05,0.199756155672484
"15221",226,0.334255521828933,0.363643645247482,0.222987460084219,0.484234499451074
"21883",329,0.309006090343253,0.368084043878692,0.2533071848905,0.49557114485155
"14452",217,0.349806774335283,0.366391345241296,0.24004759134929,0.511898930577917
"13776",202,0.0100710704375223,0.0636972464881702,0.000174048243873709,0.156219868601589
"10247",155,0.0825078437710823,0.105512390195772,0.0221245342553613,0.228894744035161
"9584",147,0.135103975500955,0.123298318420867,0.0128703675043475,0.232938649584473
"46795",678,0.00732866772788812,0.0475621126798842,0.00146674337676688,0.114467012050494
"15709",233,0.329166454590024,0.451914676568068,0.305136995602954,0.586136719034776
"44927",654,0.275400464343366,0.247718466719216,0.162212298882745,0.355307047662196
"12123",180,0.352668728743419,0.417154576683065,0.275254024009145,0.633409004417991
"32104",467,0.379387345051205,0.364725399304797,0.257050657968695,0.48655298157182
"8374",131,0.314201399133881,0.309397331745032,0.123911110268903,0.417605781811999
"25391",375,0.25657148376882,0.266807889666336,0.179469626779654,0.361829017070054
"14226",211,0.066563161038081,0.0967628984659808,0.00346122728502568,0.197523235753072
"46847",679,0.252394063598561,0.350995956461736,0.254046769556239,0.437389349068519
"2173",48,0.163623687909401,0.109575446064655,0.0100520409242094,0.216330760210471
"19113",287,0.222322491662209,0.212256944749289,0.120577217956009,0.274896070767277
"19563",294,0.302289715666923,0.324968872522161,0.182077167390597,0.466260139141424
"4626",83,0.294081371802925,0.260028837761173,0.183015287884812,0.331168438150761
"11121",165,0.0838677158494562,0.0994161823537272,0.00286765862491835,0.211609088079069
"25345",374,0.105370752207644,0.219092567510976,0.153725538389144,0.286432568393736
"7664",121,0.332071889149539,0.319136752247871,0.192404149496539,0.514554027320203
"13571",199,0.122601427439198,0.193231895178649,0.106790059864175,0.307876630102172
"42173",620,0.00682362008397911,0.0649697163575492,0.000291817085638229,0.15697218828928
"2476",53,0.331224391748449,0.30933191118993,0.1912344252613,0.449221478350327
"1320",32,0.116568720613447,0.0699589162550681,0.000576003531567103,0.166027685752277
"5818",95,0.0663939014876471,0.0956230513843442,0.000636310608071594,0.185989242247175
"30258",441,0.334287205932309,0.337948254976374,0.181503199917778,0.471970486533413
"25280",373,0.0196242320543124,0.0670283458882288,0.00167154438553261,0.145904311170796
"5909",97,0.048702138348036,0.0568243364036564,0.00109488290122614,0.145631739328074
"37210",552,0.289957129300052,0.388935758128382,0.314420537995751,0.456436116720071
"47126",683,0.316535727198929,0.372390856167977,0.268020288360199,0.494030544410042
"40429",591,0.135889231847042,0.137862664597915,0.0176652154625543,0.25862960553094
"45027",655,0.145951227732581,0.151367452366592,0.0730126751977461,0.231780776178871
"43063",632,0.388554766187203,0.431982378252277,0.26803289503087,0.593265734561291
"43577",637,0.178514686347506,0.187307523302263,0.0974292678304622,0.293037650044784
"27288",399,0.163269366018237,0.142451596659694,0.044430000583231,0.228326177662346
"15131",225,0.364276320060481,0.371934653930859,0.255776270415703,0.496125595439787
"27057",397,0.260937809598936,0.292779604283899,0.204106703995758,0.419889664995058
"23145",344,0.277467563913843,0.177857354872815,0.0636363057954442,0.294730963488957
"47623",690,0.036097679491408,0.0612068250889699,0.000896609902127483,0.136505279441521
"10875",163,0.351850602233343,0.337663561743487,0.207494520543316,0.495722132629786
"24240",360,0.277867988602121,0.170996977247695,0.0455546274148862,0.305635083140135
"2771",56,0.371294171747492,0.314341477423878,0.193455133886997,0.439041841709562
"27027",397,0.278409920769927,0.32161944483183,0.203013324326362,0.460203919549387
"23278",345,0.097400622380481,0.167337779755768,0.0947511459694724,0.247997974037135
"11232",168,0.0172127408293089,0.0624338922012817,0.000605060187670769,0.126689662526041
"33230",483,0.28767832939422,0.326038362676802,0.2192555768317,0.431414808165871
"45716",664,0.126361095868287,0.156384843177235,0.0835565924479367,0.234651652371562
"47467",688,0.0213886974420549,0.0653672736442305,0.000122072066770949,0.1680634158618
"41878",617,0.0467718699216617,0.0483794457742932,0.000701444815269564,0.111767599477623
"16734",245,0.118549922533092,0.116251228903786,0.0216697524804714,0.247624541757273
"41475",610,0.12542573770755,0.094032469516038,0.000583128943602466,0.215356452106486
"35124",516,0.130116590794071,0.116948210122794,0.00814561322837446,0.229646937665216
"22486",336,0.101933677164292,0.332915461837259,0.241591347356479,0.409734529513687
"11684",174,0.291828781835883,0.245203001413634,0.166262271978692,0.345727890313554
"42260",622,0.00354451458664811,0.106079780673162,0.00823078409522336,0.190906781358627
"48000",696,0.169908221613018,0.184353527302241,0.103766641285901,0.282838919529974
"5202",89,0.0449985488252947,0.109970665613937,0.0167111434945992,0.193754185624404
"37885",560,0.240533357239855,0.288088111760674,0.204798228126879,0.390769433503786
"10354",156,0.0256678505980633,0.0853646183593067,0.00179180811025608,0.146759854248116
"20326",305,0.361431451384142,0.358087334865491,0.218932821137335,0.529886604527582
"577",14,0.124676649434519,0.17729763955725,0.087951756679433,0.284700729396185
"8785",135,0.0176258321388489,0.0656824423754729,0.000550276001797384,0.128522820179341
