"Rep","Acceptance","Likelihood1","Likelihood2","LikelihoodDelta","TruePeak","TrueGamma","TruePhi","TruePsi","Cases","TreeSize","PercentTrajCaptured","GammaMean","GammaLower95","GappaUpper95","PhiMean","PhiLower95","PhiUpper95","PsiMean","PsiLower95","PsiUpper95","GammaCalibration1","PhiCalibration1","PsiCalibration1","GammaCalibration2","PhiCalibration2","PsiCalibration2","RunTime","Batch"
193,0.232999999999998,-708.913477790665,-1042.49836540518,333.584887614517,1198,0.155937684,0.038474928,0.003158684,1451,119,0.37,0.141788430505244,0.141788430505244,0.141788430505244,0.0181352890974542,0.0181352890974542,0.0181352890974542,0.00143374567911421,0.00143374567911421,0.00143374567911421,0.526315789473684,0,0,0.947368421052631,0,0,522103976459,"3"
194,0.1955,-1000.87714793228,-1002.09790913244,1.22076120016152,3271,0.078195948,0.028843027,0.001858279,2596,167,0.193877551020408,0.156872818704245,0.156872818704245,0.156872818704245,0.0220593144270026,0.0220593144270026,0.0220593144270026,0.00131019115954563,0.00131019115954563,0.00131019115954563,0,0.0526315789473684,0,0,0.105263157894737,0.0526315789473684,656298688917,"3"
195,0.1535,-52.4174385752684,-61.2571890793436,8.83975050407521,160,0.259273383,0.011357345,0.000667971,83,5,1.36633663366337,0.134913323903519,0.134913323903519,0.134913323903519,0.0226974152676605,0.0226974152676605,0.0226974152676605,0.00118522194371825,0.00118522194371825,0.00118522194371825,0,0.105263157894737,0.0526315789473684,0.157894736842105,0.0526315789473684,0.0526315789473684,190724821125,"3"
196,0.4775,-425.583321918006,-425.130380249257,0.452941668749304,2672,0.116003055,0.018687462,0.001116187,1263,75,0.37,0.147182009975564,0.147182009975564,0.147182009975564,0.0190586740749471,0.0190586740749471,0.0190586740749471,0.00118323029025997,0.00118323029025997,0.00118323029025997,0.210526315789474,0.736842105263158,0.578947368421053,0.157894736842105,0.947368421052631,0.789473684210526,405397887041,"3"
197,0.536,-160.67576147648,-160.142168257823,0.533593218657273,1619,0.152109765,0.010189156,0.000549355,491,27,0.393617021276596,0.161036145750033,0.161036145750033,0.161036145750033,0.0195245490220402,0.0195245490220402,0.0195245490220402,0.00109727945068414,0.00109727945068414,0.00109727945068414,0.789473684210526,0.105263157894737,0.0526315789473684,0.736842105263158,0.0526315789473684,0.0526315789473684,391911275709,"3"
198,0.446,-283.177357469139,-283.122851957526,0.0545055116130015,2345,0.120570645,0.016789002,0.000733258,1129,49,0.326530612244898,0.130455984672366,0.130455984672366,0.130455984672366,0.021888966713642,0.021888966713642,0.021888966713642,0.00103399731278252,0.00103399731278252,0.00103399731278252,1,0.210526315789474,0.31578947368421,0.526315789473684,0.31578947368421,0.31578947368421,413029268250,"3"
199,0.4555,-383.357969091226,-383.355030877924,0.00293821330109267,920,0.166501864,0.035846255,0.002093788,1111,65,0.371134020618557,0.25982183604528,0.25982183604528,0.25982183604528,0.0269076818866689,0.0269076818866689,0.0269076818866689,0.001384190627834,0.001384190627834,0.001384190627834,0,0.0526315789473684,0,0,0.0526315789473684,0,341404945375,"3"
200,0.0674999999999999,-89.4387343039332,-91.6996909329265,2.26095662899338,446,0.220066209,0.028745347,0.000890148,383,12,0.255555555555556,0.203981884761338,0.203981884761338,0.203981884761338,0.0333335349201336,0.0333335349201336,0.0333335349201336,0.00100732334648778,0.00100732334648778,0.00100732334648778,0.736842105263158,0.210526315789474,0.473684210526316,0.736842105263158,0.31578947368421,0.684210526315789,137897328084,"3"
201,0.597500000000001,-98.4242536939045,-97.8861393322035,0.538114361701048,242,0.2335541,0.025125017,0.001296417,260,13,1.35353535353535,0.202918038965263,0.202918038965263,0.202918038965263,0.0233582210957988,0.0233582210957988,0.0233582210957988,0.00113989591635235,0.00113989591635235,0.00113989591635235,0.421052631578947,0.684210526315789,0.421052631578947,0.526315789473684,0.789473684210526,0.631578947368421,266768415458,"4"
202,0.4195,-298.000489149201,-298.426370246206,0.425881097004719,3835,0.074570363,0.018272914,0.000498646,1933,53,0.7,0.169204392911424,0.169204392911424,0.169204392911424,0.0166467730429466,0.0166467730429466,0.0166467730429466,0.000443177819326867,0.000443177819326867,0.000443177819326867,0,0.684210526315789,0.842105263157894,0.0526315789473684,0.684210526315789,0.631578947368421,437120343667,"4"
