t,R,S,I,sample
9.852170793580886,57.0,19767.0,176.0,5.0
9.855313778602623,57.0,19766.0,177.0,5.0
9.857910801507769,57.0,19765.0,178.0,5.0
9.858871239587215,57.0,19764.0,179.0,5.0
9.881981644254257,57.0,19763.0,180.0,5.0
9.884093485221412,57.0,19762.0,181.0,5.0
9.890382947571476,57.0,19761.0,182.0,5.0
9.901934542511617,58.0,19761.0,181.0,5.0
9.905626548071195,59.0,19761.0,180.0,5.0
9.90687632799294,59.0,19760.0,181.0,5.0
9.922043277114273,59.0,19759.0,182.0,5.0
9.926747088544264,59.0,19758.0,183.0,5.0
9.929552148318175,59.0,19757.0,184.0,5.0
9.930064195584922,59.0,19756.0,185.0,5.0
9.93171755785966,59.0,19755.0,186.0,5.0
9.935613458088149,59.0,19754.0,187.0,5.0
9.948386872570152,59.0,19753.0,188.0,5.0
9.961747697687077,59.0,19752.0,189.0,5.0
9.969538432568593,59.0,19751.0,190.0,5.0
9.974660131156774,59.0,19750.0,191.0,5.0
9.977123688112135,59.0,19749.0,192.0,5.0
9.987298577453268,59.0,19748.0,193.0,5.0
9.98947763360211,59.0,19747.0,194.0,5.0
10.004021122537818,59.0,19746.0,195.0,5.0
10.004889200725069,59.0,19745.0,196.0,5.0
10.00656986270086,60.0,19745.0,195.0,5.0
10.007497484674333,60.0,19744.0,196.0,5.0
10.009475647516176,61.0,19744.0,195.0,5.0
10.019016344340852,61.0,19743.0,196.0,5.0
10.028372820942518,61.0,19742.0,197.0,5.0
10.042433846114326,61.0,19741.0,198.0,5.0
10.043367346075476,61.0,19740.0,199.0,5.0
10.049810148416157,61.0,19739.0,200.0,5.0
10.060005195102107,61.0,19738.0,201.0,5.0
10.066947125453675,61.0,19737.0,202.0,5.0
10.06724858153295,61.0,19736.0,203.0,5.0
10.074122358358563,61.0,19735.0,204.0,5.0
10.07877616876171,61.0,19734.0,205.0,5.0
10.079386422869042,61.0,19733.0,206.0,5.0
10.085666163290373,61.0,19732.0,207.0,5.0
10.086108386888853,61.0,19731.0,208.0,5.0
10.088555886424825,61.0,19730.0,209.0,5.0
10.093163965568884,61.0,19729.0,210.0,5.0
10.097261556480776,61.0,19728.0,211.0,5.0
10.105817566656809,61.0,19727.0,212.0,5.0
10.119170761366886,61.0,19726.0,213.0,5.0
10.119833845985898,62.0,19726.0,212.0,5.0
10.123183667470194,63.0,19726.0,211.0,5.0
10.12483512312223,64.0,19726.0,210.0,5.0
10.13287697927358,64.0,19725.0,211.0,5.0
10.151933124305106,65.0,19725.0,210.0,5.0
10.16332736440968,65.0,19724.0,211.0,5.0
10.170459368380353,65.0,19723.0,212.0,5.0
10.178950689384658,65.0,19722.0,213.0,5.0
10.180280352839672,65.0,19721.0,214.0,5.0
10.204512024764853,65.0,19720.0,215.0,5.0
10.214470096382916,65.0,19719.0,216.0,5.0
10.215743299023313,65.0,19718.0,217.0,5.0
10.216011508472233,65.0,19717.0,218.0,5.0
10.22907840419183,65.0,19716.0,219.0,5.0
10.23317870071799,65.0,19715.0,220.0,5.0
10.240321397799994,65.0,19714.0,221.0,5.0
10.247091969485842,65.0,19713.0,222.0,5.0
10.24896485608933,66.0,19713.0,221.0,5.0
10.249378110157066,67.0,19713.0,220.0,5.0
10.253733026005234,67.0,19712.0,221.0,5.0
10.28143957183327,67.0,19711.0,222.0,5.0
10.282878781461577,67.0,19710.0,223.0,5.0
10.302610174071033,67.0,19709.0,224.0,5.0
10.303460493831466,67.0,19708.0,225.0,5.0
10.306552542586752,67.0,19707.0,226.0,5.0
10.306929527480635,67.0,19706.0,227.0,5.0
10.313431564367228,67.0,19705.0,228.0,5.0
10.313821612012001,67.0,19704.0,229.0,5.0
10.318304019959278,67.0,19703.0,230.0,5.0
10.32263072354016,68.0,19703.0,229.0,5.0
10.329223505491738,68.0,19702.0,230.0,5.0
10.33429752383771,68.0,19701.0,231.0,5.0
10.347394849844166,68.0,19700.0,232.0,5.0
10.350052020378977,68.0,19699.0,233.0,5.0
10.35159207520352,68.0,19698.0,234.0,5.0
10.3599930384252,68.0,19697.0,235.0,5.0
10.361533363623868,68.0,19696.0,236.0,5.0
10.367295385777636,68.0,19695.0,237.0,5.0
10.37527107429042,68.0,19694.0,238.0,5.0
10.383449963558913,68.0,19693.0,239.0,5.0
10.38411756958785,69.0,19693.0,238.0,5.0
10.389349064923483,69.0,19692.0,239.0,5.0
10.396051427614749,69.0,19691.0,240.0,5.0
10.404809813194346,70.0,19691.0,239.0,5.0
10.405497351732414,70.0,19690.0,240.0,5.0
10.407190820745427,70.0,19689.0,241.0,5.0
10.417886088553436,71.0,19689.0,240.0,5.0
10.419307053716583,71.0,19688.0,241.0,5.0
10.420469576457945,71.0,19687.0,242.0,5.0
10.42672413462366,71.0,19686.0,243.0,5.0
10.428140984576903,72.0,19686.0,242.0,6.0
10.428596693255862,72.0,19685.0,243.0,6.0
10.440425259970777,72.0,19684.0,244.0,6.0
10.44207025253746,72.0,19683.0,245.0,6.0
10.44463208645587,72.0,19682.0,246.0,6.0
10.4545707624167,72.0,19681.0,247.0,6.0
10.462099232584308,73.0,19681.0,246.0,6.0
10.463823243222407,74.0,19681.0,245.0,6.0
10.47251287887739,75.0,19681.0,244.0,6.0
10.476362729210571,75.0,19680.0,245.0,6.0
10.481152239987143,75.0,19679.0,246.0,6.0
10.488838638470614,76.0,19679.0,245.0,6.0
10.491659029065849,76.0,19678.0,246.0,6.0
10.495180541875625,76.0,19677.0,247.0,6.0
10.497779884256355,76.0,19676.0,248.0,6.0
10.50518095313315,76.0,19675.0,249.0,6.0
10.521178723163612,76.0,19674.0,250.0,6.0
10.521515015126864,76.0,19673.0,251.0,6.0
10.525353435304915,76.0,19672.0,252.0,6.0
10.527816478510118,77.0,19672.0,251.0,6.0
10.528483797148246,77.0,19671.0,252.0,6.0
10.537980128575288,77.0,19670.0,253.0,6.0
10.539872284572839,77.0,19669.0,254.0,6.0
10.542998436277683,77.0,19668.0,255.0,6.0
10.547631463563697,77.0,19667.0,256.0,6.0
10.551305696041858,77.0,19666.0,257.0,6.0
10.559873991642556,77.0,19665.0,258.0,6.0
10.56003444757786,77.0,19664.0,259.0,6.0
10.563733156458962,78.0,19664.0,258.0,6.0
10.57918589194556,79.0,19664.0,257.0,6.0
10.580633988854386,79.0,19663.0,258.0,6.0
10.5873771653178,79.0,19662.0,259.0,6.0
10.597817452356292,79.0,19661.0,260.0,6.0
10.601829662357064,79.0,19660.0,261.0,6.0
10.618152631289192,79.0,19659.0,262.0,6.0
10.618170094590335,79.0,19658.0,263.0,6.0
10.621353131286835,79.0,19657.0,264.0,6.0
10.634931951744944,79.0,19656.0,265.0,6.0
10.656893700784577,79.0,19655.0,266.0,6.0
10.66230211097538,79.0,19654.0,267.0,6.0
10.663494478904198,79.0,19653.0,268.0,6.0
10.664928044978982,79.0,19652.0,269.0,6.0
10.673458136768174,79.0,19651.0,270.0,6.0
10.689866227784977,79.0,19650.0,271.0,6.0
10.690333724958252,79.0,19649.0,272.0,6.0
