"TrueBeta","TrueGamma","TruePsi","ModelBeta","ModelGamma","ModelPsi","AvgLikelihood"
0.23,0.16,0.03,0.23,0.2359,0.03,-675.3627
0.23,0.16,0.03,0.23,0.2408,0.03,-692.5246
0.23,0.16,0.03,0.23,0.2457,0.03,-712.839
0.23,0.16,0.03,0.23,0.2506,0.03,-723.1124
0.23,0.16,0.03,0.23,0.2555,0.03,-736.4913
0.23,0.16,0.03,0.23,0.2604,0.03,-748.0207
0.23,0.16,0.03,0.23,0.2653,0.03,-761.4818
0.23,0.16,0.03,0.23,0.2702,0.03,-772.3833
0.23,0.16,0.03,0.23,0.2751,0.03,-783.0415
0.23,0.16,0.03,0.23,0.28,0.03,-793.5982
0.27,0.12,0.03,0.0675,0.12,0.03,-703.0528
0.27,0.12,0.03,0.0758,0.12,0.03,-690.3889
0.27,0.12,0.03,0.084,0.12,0.03,-678.5296
0.27,0.12,0.03,0.0923,0.12,0.03,-668.193
0.27,0.12,0.03,0.1006,0.12,0.03,-657.2009
0.27,0.12,0.03,0.1088,0.12,0.03,-648.6809
0.27,0.12,0.03,0.1171,0.12,0.03,-641.2767
0.27,0.12,0.03,0.1254,0.12,0.03,-631.3947
0.27,0.12,0.03,0.1336,0.12,0.03,-623.2569
0.27,0.12,0.03,0.1419,0.12,0.03,-613.4932
0.27,0.12,0.03,0.1502,0.12,0.03,-604.5955
0.27,0.12,0.03,0.1584,0.12,0.03,-596.7367
0.27,0.12,0.03,0.1667,0.12,0.03,-588.7009
0.27,0.12,0.03,0.1749,0.12,0.03,-582.0544
0.27,0.12,0.03,0.1832,0.12,0.03,-572.242
0.27,0.12,0.03,0.1915,0.12,0.03,-564.0511
0.27,0.12,0.03,0.1997,0.12,0.03,-556.2317
0.27,0.12,0.03,0.208,0.12,0.03,-547.8916
0.27,0.12,0.03,0.2163,0.12,0.03,-540.2961
0.27,0.12,0.03,0.2245,0.12,0.03,-534.7376
0.27,0.12,0.03,0.2328,0.12,0.03,-529.0416
0.27,0.12,0.03,0.2411,0.12,0.03,-525.5328
0.27,0.12,0.03,0.2493,0.12,0.03,-523.0498
0.27,0.12,0.03,0.2576,0.12,0.03,-520.8818
0.27,0.12,0.03,0.2659,0.12,0.03,-519.7844
0.27,0.12,0.03,0.2741,0.12,0.03,-519.6559
0.27,0.12,0.03,0.2824,0.12,0.03,-519.8665
0.27,0.12,0.03,0.2907,0.12,0.03,-520.6596
0.27,0.12,0.03,0.2989,0.12,0.03,-521.4554
0.27,0.12,0.03,0.3072,0.12,0.03,-522.5347
0.27,0.12,0.03,0.3155,0.12,0.03,-524.1341
0.27,0.12,0.03,0.3237,0.12,0.03,-525.7031
0.27,0.12,0.03,0.332,0.12,0.03,-527.7655
0.27,0.12,0.03,0.3403,0.12,0.03,-529.799
0.27,0.12,0.03,0.3485,0.12,0.03,-532.1546
0.27,0.12,0.03,0.3568,0.12,0.03,-534.9387
0.27,0.12,0.03,0.3651,0.12,0.03,-537.9492
0.27,0.12,0.03,0.3733,0.12,0.03,-540.8566
0.27,0.12,0.03,0.3816,0.12,0.03,-544.4759
0.27,0.12,0.03,0.3898,0.12,0.03,-548.4848
0.27,0.12,0.03,0.3981,0.12,0.03,-554.4899
0.27,0.12,0.03,0.4064,0.12,0.03,-561.031
0.27,0.12,0.03,0.4146,0.12,0.03,-572.0718
0.27,0.12,0.03,0.4229,0.12,0.03,-592.9522
0.27,0.12,0.03,0.4312,0.12,0.03,-623.9831
0.27,0.12,0.03,0.4394,0.12,0.03,-659.6925
0.27,0.12,0.03,0.4477,0.12,0.03,-721.3492
