"","TrueBeta","TrueGamma","TruePsi","ModelBeta","ModelGamma","ModelPsi","BDSkyDensity","AvgLikelihood","VaryingParam"
"148",0.23,0.12,0.01,0.23,0.12,0.0169,-577.2933,-590.1864,"Psi"
"149",0.23,0.12,0.01,0.23,0.12,0.0172,-577.5419,-590.3012,"Psi"
"150",0.23,0.12,0.01,0.23,0.12,0.0175,-577.7985,-590.3421,"Psi"
"151",0.23,0.12,0.03,0.23,0.12,0.0075,-572.3275,-583.099,"Psi"
"152",0.23,0.12,0.03,0.23,0.12,0.0084,-567.3644,-577.2822,"Psi"
"153",0.23,0.12,0.03,0.23,0.12,0.0093,-563.1706,-572.3721,"Psi"
"154",0.23,0.12,0.03,0.23,0.12,0.0103,-559.586,-568.2012,"Psi"
"155",0.23,0.12,0.03,0.23,0.12,0.0112,-556.4945,-564.4588,"Psi"
"156",0.23,0.12,0.03,0.23,0.12,0.0121,-553.8091,-561.2216,"Psi"
"157",0.23,0.12,0.03,0.23,0.12,0.013,-551.4632,-558.4731,"Psi"
"158",0.23,0.12,0.03,0.23,0.12,0.0139,-549.4046,-555.9213,"Psi"
"159",0.23,0.12,0.03,0.23,0.12,0.0148,-547.5919,-553.7751,"Psi"
"160",0.23,0.12,0.03,0.23,0.12,0.0158,-545.9918,-551.8218,"Psi"
"161",0.23,0.12,0.03,0.23,0.12,0.0167,-544.5767,-549.9592,"Psi"
"162",0.23,0.12,0.03,0.23,0.12,0.0176,-543.3243,-548.4327,"Psi"
"163",0.23,0.12,0.03,0.23,0.12,0.0185,-542.2154,-546.989,"Psi"
"164",0.23,0.12,0.03,0.23,0.12,0.0194,-541.2343,-545.6722,"Psi"
"165",0.23,0.12,0.03,0.23,0.12,0.0204,-540.3673,-544.5092,"Psi"
"166",0.23,0.12,0.03,0.23,0.12,0.0213,-539.6029,-543.541,"Psi"
"167",0.23,0.12,0.03,0.23,0.12,0.0222,-538.931,-542.575,"Psi"
"168",0.23,0.12,0.03,0.23,0.12,0.0231,-538.3429,-541.779,"Psi"
