"Rep","TruePeak","Cases","TreeSize","TrueGamma","TruePhi","TruePsi","GammaMean","PhiMean","PsiMean","RunTime"
360,55,122,8,0.213539787,0.059339938,0.003868734,0.193886636773687,0.037165623955768,0.00213083633998201,16.5964562446667
361,728,1357,49,0.145551967,0.049203628,0.001780593,0.185442300713002,0.046233027427636,0.00169708254010555,25.1895245859
363,677,718,44,0.158587214,0.038774919,0.002390882,0.296629626068189,0.0328291345953737,0.00199777790184634,24.0137394316833
364,906,912,40,0.143648393,0.025982244,0.001144489,0.20224214386066,0.0331064497642373,0.00152208955979326,23.6183857937667
365,1033,1246,70,0.139028476,0.032676655,0.00184506,0.15950743248866,0.036740558991004,0.00199612871897439,28.5108500170167
366,374,463,39,0.201076512,0.037298072,0.003124369,0.255104941534221,0.0318248315777616,0.00234914532963189,22.8647208477833
367,1965,2696,97,0.0893369,0.049231426,0.001764432,0.247191772305205,0.0406958468505649,0.00156826718263601,31.6019268574
368,1656,2309,93,0.10994667,0.044632969,0.001796463,0.166642314467312,0.0430280493362578,0.00177625537456787,30.83119599025
370,1641,1818,131,0.09362061,0.031375372,0.002266655,0.21747448832526,0.0214761813267893,0.00160065446505404,36.8799705927667
371,3666,3389,208,0.056222564,0.030601799,0.001875494,0.147832252904837,0.0294844955512629,0.00180681642249074,46.8762396115667
372,1747,1768,111,0.130862775,0.037985601,0.002379415,0.15609245943768,0.0339084358328495,0.00215520783905825,33.5030653775167
373,2995,1536,61,0.090814105,0.017489877,0.000693057,0.168726709924235,0.0288179692064412,0.00123252203659344,27.3801659905333
374,2364,1414,75,0.10805953,0.021409487,0.001134159,0.179953065367751,0.0310865002536074,0.00161840081719015,28.8631600227667
375,245,228,11,0.153489047,0.040682726,0.001987619,0.200826642417488,0.0431432026279132,0.00171544368607088,19.1897014820833
377,2334,2760,111,0.076752335,0.036544141,0.001475702,0.214570360234623,0.0344220497002402,0.00136540948093306,35.2254162965833
379,1416,1296,82,0.129481476,0.029728412,0.001875519,0.196017647578354,0.0351362261153609,0.00218996524190166,29.2825172901667
380,4270,4138,187,0.034402908,0.027063809,0.001220151,0.169520365513635,0.0202937095747258,0.000949419793128572,46.7182944589333
381,1100,1623,108,0.142541147,0.041356019,0.002739477,0.224225058726145,0.0395461434636446,0.00252540921324945,33.2012981654333
382,478,810,21,0.162046917,0.040096384,0.001049371,0.211788613692977,0.0401850309909573,0.00102354438898347,20.6170703234667
383,1024,994,49,0.173533613,0.029608607,0.001446157,0.154075334565598,0.0364033553052037,0.00183591703805622,24.8846262408167
384,726,1189,112,0.140819852,0.038045558,0.003585251,0.236932820068433,0.0315877537110197,0.00272115296578046,33.8236728653833
387,802,1012,34,0.152277827,0.032674766,0.001087184,0.185962378439671,0.0392073462775803,0.00143957121439284,22.4275673681667
388,1958,2897,201,0.081164921,0.043756756,0.003034153,0.215002905691701,0.0351840928544898,0.00237526195883875,45.4742755724
389,3038,2557,101,0.07965165,0.029827057,0.001183246,0.139229320991985,0.0367180601707237,0.00151339216212786,32.3129523276667
390,1672,3154,114,0.080265737,0.055063365,0.001985096,0.252510713900547,0.0413684761036502,0.00159854993884618,35.3968898443167
391,4583,6808,369,0.019682326,0.045869207,0.002488503,0.183989771287227,0.0332581652673328,0.00182648396632576,87.4420358958667
392,3772,4909,69,0.042677998,0.044504844,0.000628838,0.190723389199219,0.0382395236753352,0.000564900629927843,39.34017114545
394,239,397,13,0.252344178,0.036685612,0.001239729,0.191208811462058,0.0421303315161392,0.00134684201582013,24.2756080961
395,2470,3485,130,0.069713671,0.044615132,0.001665754,0.215734054345847,0.0412705868577564,0.00154076325659363,45.9041218162
396,1400,2152,82,0.103317775,0.044711806,0.001695178,0.166870955727723,0.0442785390970306,0.00174425319511824,37.6996719965667
397,578,690,30,0.165740637,0.025804575,0.001102879,0.205180136681505,0.0350148286121246,0.00161618336423363,28.9195100329667
398,147,251,19,0.193896718,0.046426687,0.003450597,0.207050425601015,0.0440014741001908,0.00248416714736978,24.8530751712333
399,702,895,56,0.218525736,0.03687234,0.002290889,0.214169360321608,0.0406948039084178,0.00230172548496338,34.0426658756333
400,2166,2154,133,0.10552111,0.035720723,0.002199262,0.167846299694937,0.0361699127787617,0.00212844778747605,45.4307505565
