"Time","Mean","Lower95","Upper95","Rt","Scenario"
173,1.401,0.9913,1.8362,1.16724036979969,"Transmission"
174,1.1496,0.817,1.5122,1.13672559148169,"Transmission"
175,1.1496,0.817,1.5122,1.10519001687967,"Transmission"
176,1.1496,0.817,1.5122,1.08571658968338,"Transmission"
177,1.1496,0.817,1.5122,1.08043486041518,"Transmission"
178,1.1496,0.817,1.5122,1.07864229410166,"Transmission"
179,1.1496,0.817,1.5122,1.06449141767324,"Transmission"
180,1.1496,0.817,1.5122,1.0491444493007,"Transmission"
181,1.1496,0.817,1.5122,1.04651422282896,"Transmission"
182,1.1496,0.817,1.5122,1.02403283567643,"Transmission"
183,1.1496,0.817,1.5122,1.01177796511789,"Transmission"
184,0.8078,0.4203,1.224,1.00628657057228,"Transmission"
185,0.8078,0.4203,1.224,1.01637127377742,"Transmission"
186,0.8078,0.4203,1.224,1.00724404808674,"Transmission"
187,0.8078,0.4203,1.224,1.00501563340506,"Transmission"
188,0.8078,0.4203,1.224,1.00539204545455,"Transmission"
189,0.8078,0.4203,1.224,1.0283139587685,"Transmission"
190,0.8078,0.4203,1.224,1.04329648084709,"Transmission"
191,0.8078,0.4203,1.224,1.05432249568613,"Transmission"
192,0.8078,0.4203,1.224,1.05330055658627,"Transmission"
193,0.8078,0.4203,1.224,1.05392982017982,"Transmission"
194,0.9496,0.5109,1.3664,1.05320266889074,"Transmission"
193,0.9496,0.5109,1.3664,1.05392982017982,"Transmission"
0,NA,NA,NA,3.14653846153846,"Transmission"
3,NA,NA,NA,3.14622377622378,"Transmission"
195,NA,NA,NA,1.0662499634257,"Transmission"
196,NA,NA,NA,1.09282280711415,"Transmission"
197,NA,NA,NA,1.07829311313686,"Transmission"
198,NA,NA,NA,1.08387023764617,"Transmission"
199,NA,NA,NA,1.08999687812188,"Transmission"
200,NA,NA,NA,1.07885071450289,"Transmission"
